FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
23520,2170,1,1850,1851,1.000000000000000,449102.000000000000000,4394652.000000000000000,2856407,839.7459717
23521,2171,1,1849,1851,2.000000000000000,449102.000000000000000,4394652.000000000000000,2856407,839.7459717
23522,2172,1,1852,1798,202.730217000000010,450528.000000000000000,4394641.000000000000000,254029,1134.9499512
23523,2172,1,1852,1798,202.730217000000010,450533.000000000000000,4394647.000000000000000,17996,1135.0100098
23524,2172,1,1852,1798,202.730217000000010,450538.000000000000000,4394650.000000000000000,17883,1135.1400146
23525,2172,1,1852,1798,202.730217000000010,450538.000000000000000,4394652.000000000000000,17875,1135.2399902
23526,2172,1,1852,1798,202.730217000000010,450554.000000000000000,4394652.000000000000000,16668,1135.8900146
23527,2173,1,1853,1847,121.342690000000000,449342.000000000000000,4394638.000000000000000,6466,871.0609741
23528,2173,1,1853,1847,121.342690000000000,449343.000000000000000,4394642.000000000000000,1490431,871.1859741
23529,2173,1,1853,1847,121.342690000000000,449350.000000000000000,4394648.000000000000000,1488883,872.6920166
23530,2173,1,1853,1847,121.342690000000000,449417.000000000000000,4394652.000000000000000,1479089,883.4769897
23531,2174,1,1853,1854,3.605551000000000,449342.000000000000000,4394638.000000000000000,6466,871.0609741
23532,2175,1,1805,1855,130.118213999999990,450511.000000000000000,4394651.000000000000000,116513,1134.9699707
23533,2175,1,1805,1855,130.118213999999990,450506.000000000000000,4394642.000000000000000,116776,1134.9000244
23534,2176,1,1855,1852,34.160688000000000,450508.000000000000000,4394639.000000000000000,272424,1134.5699463
23535,2176,1,1855,1852,34.160688000000000,450513.000000000000000,4394639.000000000000000,272382,1134.8199463
23536,2176,1,1855,1852,34.160688000000000,450514.000000000000000,4394640.000000000000000,272364,1134.7700195
23537,2176,1,1855,1852,34.160688000000000,450524.000000000000000,4394639.000000000000000,272173,1134.7700195
23538,2176,1,1855,1852,34.160688000000000,450528.000000000000000,4394641.000000000000000,254029,1134.9499512
23539,2178,1,1811,1857,105.622439000000000,449842.000000000000000,4394652.000000000000000,13703,960.4780273
23540,2178,1,1811,1857,105.622439000000000,449840.000000000000000,4394648.000000000000000,13730,958.6669922
23541,2179,1,1851,1858,52.828128999999997,449102.000000000000000,4394652.000000000000000,2856407,839.7459717
