X,Y,streamorde,IX,Shape_Leng,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
458081,4379406,4384,21564,4384,458081,4379406,690387,17.5269,733.517
458082,4379406,4384,21564,4384,458082,4379406,690514,11.8882,733.376
458083,4379406,4384,21564,4384,458083,4379406,690523,3.99699,733.268
458084,4379407,4384,21564,4384,458084,4379407,690525,10.7873,733.378
458085,4379407,4384,21564,4384,458085,4379407,690683,8.25047,733.269
458086,4379406,4384,21564,4384,458086,4379406,690684,4.39874,733.282
458087,4379405,4384,21564,4384,458087,4379405,691947,7.07095,733.064
458088,4379405,4384,21564,4384,458088,4379405,691959,20.7155,732.824
458089,4379404,4384,21564,4384,458089,4379404,691969,13.7487,732.417
458090,4379403,4384,21564,4384,458090,4379403,8,10.7254,732.394
458091,4379403,4384,21564,4384,458091,4379403,691986,8.39619,732.464
458092,4379403,4384,21564,4384,458092,4379403,692299,10.6145,732.469
458093,4379403,4384,21564,4384,458093,4379403,692300,7.65161,732.519
458094,4379403,4384,21564,4384,458094,4379403,692310,6.31025,732.368
458095,4379403,4384,21564,4384,458095,4379403,692311,5.78083,732.377
458096,4379403,4384,21564,4384,458096,4379403,692321,5.98521,732.274
458097,4379404,4384,21564,4384,458097,4379404,693063,4.7588,732.14
458098,4379404,4384,21564,4384,458098,4379404,693064,4.30826,732.137
458099,4379404,4384,21564,4384,458099,4379404,693223,4.24695,732.016
458100,4379405,4384,21564,4384,458100,4379405,693229,7.28744,731.968
458101,4379406,4384,21564,4384,458101,4379406,693352,4.41588,731.873
458102,4379407,4384,21564,4384,458102,4379407,693355,5.32331,731.845
458102,4379408,4384,21564,4384,458102,4379408,693498,8.97228,731.829
458103,4379408,4384,21564,4384,458103,4379408,693640,5.18528,731.823
458104,4379408,4384,21564,4384,458104,4379408,693861,3.8218,731.802
458105,4379408,4384,21564,4384,458105,4379408,693862,3.41549,731.823
458106,4379408,4384,21564,4384,458106,4379408,693951,3.77364,731.635
458107,4379409,4384,21564,4384,458107,4379409,693955,8.59019,731.628
458108,4379409,4384,21564,4384,458108,4379409,693987,4.83467,731.547
458109,4379409,4384,21564,4384,458109,4379409,694040,4.2541,731.46
458110,4379410,4384,21564,4384,458110,4379410,694041,6.70041,731.484
458111,4379410,4384,21564,4384,458111,4379410,694230,5.6494,731.352
458112,4379410,4384,21564,4384,458112,4379410,694232,4.92371,731.29
458113,4379410,4384,21564,4384,458113,4379410,694239,4.01275,731.266
458114,4379410,4384,21564,4384,458114,4379410,694245,1.05821,731.377
458115,4379409,4384,21564,4384,458115,4379409,714412,3.65914,731.311
458116,4379408,4384,21564,4384,458116,4379408,714638,4.7938,731.248
458117,4379408,4384,21564,4384,458117,4379408,714667,5.50323,731.059
458118,4379408,4384,21564,4384,458118,4379408,714668,7.10441,731.055
458119,4379408,4384,21564,4384,458119,4379408,714804,7.72489,730.955
458120,4379408,4384,21564,4384,458120,4379408,714866,7.09188,730.717
458121,4379408,4384,21564,4384,458121,4379408,714881,12.4476,730.71
458122,4379407,4384,21564,4384,458122,4379407,715004,2.50073,730.739
458123,4379406,4384,21564,4384,458123,4379406,715007,14.4572,730.742
458124,4379407,4384,21564,4384,458124,4379407,715031,2.79445,730.716
458125,4379407,4384,21564,4384,458125,4379407,715175,4.66866,730.625
458126,4379406,4384,21564,4384,458126,4379406,715314,7.8862,730.605
458127,4379406,4384,21564,4384,458127,4379406,715441,5.67689,730.498
458128,4379406,4384,21564,4384,458128,4379406,716007,12.9327,730.591
458129,4379407,4384,21564,4384,458129,4379407,716010,7.36279,730.677
458130,4379407,4384,21564,4384,458130,4379407,716014,8.21358,730.602
458131,4379407,4384,21564,4384,458131,4379407,716269,7.99928,730.605
458132,4379406,4384,21564,4384,458132,4379406,716334,14.4153,730.468
458133,4379406,4384,21564,4384,458133,4379406,716353,13.6049,730.287
458134,4379407,4384,21564,4384,458134,4379407,716354,7.47962,730.304
458135,4379408,4384,21564,4384,458135,4379408,716390,16.8848,730.302
458136,4379408,4384,21564,4384,458136,4379408,716426,14.0302,730.038
458137,4379407,4384,21564,4384,458137,4379407,5,9.17315,730.138
458138,4379408,4384,21564,4384,458138,4379408,716486,16.2415,730.169
458139,4379407,4384,21564,4384,458139,4379407,716502,9.41914,729.99
458140,4379407,4384,21564,4384,458140,4379407,716538,9.4452,729.77
458141,4379406,4384,21564,4384,458141,4379406,1,35.2464,729.749
458142,4379406,4384,21564,4384,458142,4379406,11,23.8304,729.491
458143,4379406,4384,21564,4384,458143,4379406,15,16.965,729.791
458144,4379406,4384,21564,4384,458144,4379406,716592,9.82802,729.887
458145,4379406,4384,21564,4384,458145,4379406,716602,0.775519,729.889
458146,4379405,4384,21564,4384,458146,4379405,716832,6.93329,729.789
458147,4379405,4384,21564,4384,458147,4379405,716855,1.8494,729.811
458148,4379405,4384,21564,4384,458148,4379405,716856,3.49878,729.85
458149,4379405,4384,21564,4384,458149,4379405,717181,10.4476,729.747
458150,4379405,4384,21564,4384,458150,4379405,717188,16.0664,729.65
458151,4379406,4384,21564,4384,458151,4379406,7,8.53175,729.314
458152,4379407,4384,21564,4384,458152,4379407,6,11.983,729.537
458153,4379407,4384,21564,4384,458153,4379407,228,2.24711,729.538
458154,4379407,4384,21564,4384,458154,4379407,717502,13.6061,729.61
458155,4379408,4384,21564,4384,458155,4379408,717506,5.02812,729.651
458156,4379408,4384,21564,4384,458156,4379408,717510,13.0865,729.545
458157,4379409,4384,21564,4384,458157,4379409,718225,0.382139,729.448
