X,Y,streamorde,IX,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
447597,4399657,5,34659,447597.00000000000,4399657.00000000000,565607,23.30320000000,667.28200000000
447596,4399656,5,34659,447596.00000000000,4399656.00000000000,565609,25.50820000000,667.00500000000
447595,4399656,5,34659,447595.00000000000,4399656.00000000000,565626,22.66180000000,666.44900000000
447594,4399655,5,34659,447594.00000000000,4399655.00000000000,565627,18.51180000000,666.18300000000
447593,4399655,5,34659,447593.00000000000,4399655.00000000000,565633,21.07240000000,665.73100000000
447592,4399654,5,34659,447592.00000000000,4399654.00000000000,566385,15.00540000000,665.44100000000
447591,4399653,5,34659,447591.00000000000,4399653.00000000000,566622,24.65740000000,665.04800000000
447590,4399653,5,34659,447590.00000000000,4399653.00000000000,566626,20.28240000000,664.59800000000
447589,4399653,5,34659,447589.00000000000,4399653.00000000000,571680,11.98740000000,664.37300000000
447588,4399652,5,34659,447588.00000000000,4399652.00000000000,571959,6.20775000000,664.28000000000
447587,4399651,5,34659,447587.00000000000,4399651.00000000000,572438,15.79940000000,664.00300000000
447586,4399650,5,34659,447586.00000000000,4399650.00000000000,572510,24.25580000000,663.52400000000
447585,4399650,5,34659,447585.00000000000,4399650.00000000000,572514,15.92680000000,663.22700000000
447584,4399649,5,34659,447584.00000000000,4399649.00000000000,572515,13.90620000000,662.99200000000
447583,4399648,5,34659,447583.00000000000,4399648.00000000000,572516,22.15750000000,662.49500000000
447582,4399647,5,34659,447582.00000000000,4399647.00000000000,573329,29.84210000000,661.89000000000
447581,4399647,5,34659,447581.00000000000,4399647.00000000000,573336,24.09580000000,661.32700000000
447580,4399646,5,34659,447580.00000000000,4399646.00000000000,573863,21.20460000000,661.07900000000
447579,4399646,5,34659,447579.00000000000,4399646.00000000000,573877,12.19960000000,661.00200000000
447578,4399646,5,34659,447578.00000000000,4399646.00000000000,573878,15.04330000000,661.09400000000
447577,4399646,5,34659,447577.00000000000,4399646.00000000000,576713,15.25940000000,660.59100000000
447576,4399646,5,34659,447576.00000000000,4399646.00000000000,576730,10.10780000000,660.52000000000
447575,4399645,5,34659,447575.00000000000,4399645.00000000000,576732,21.51150000000,660.34700000000
447574,4399645,5,34659,447574.00000000000,4399645.00000000000,576744,14.45260000000,659.99400000000
447573,4399645,5,34659,447573.00000000000,4399645.00000000000,576751,13.43050000000,659.87900000000
447572,4399645,5,34659,447572.00000000000,4399645.00000000000,578071,15.59550000000,659.76800000000
447571,4399644,5,34659,447571.00000000000,4399644.00000000000,578073,25.49540000000,659.48500000000
447570,4399644,5,34659,447570.00000000000,4399644.00000000000,578078,32.50130000000,658.84000000000
447569,4399644,5,34659,447569.00000000000,4399644.00000000000,578079,22.79890000000,658.24000000000
447568,4399644,5,34659,447568.00000000000,4399644.00000000000,578133,4.25984000000,658.05000000000
447567,4399643,5,34659,447567.00000000000,4399643.00000000000,578147,6.59472000000,657.99100000000
447566,4399642,5,34659,447566.00000000000,4399642.00000000000,578572,14.44410000000,657.69000000000
447565,4399642,5,34659,447565.00000000000,4399642.00000000000,578599,5.46773000000,657.65100000000
447564,4399643,5,34659,447564.00000000000,4399643.00000000000,578609,16.61590000000,657.60800000000
447563,4399643,5,34659,447563.00000000000,4399643.00000000000,578610,19.10820000000,657.21300000000
447562,4399643,5,34659,447562.00000000000,4399643.00000000000,578700,8.73594000000,656.91400000000
447561,4399643,5,34659,447561.00000000000,4399643.00000000000,578733,6.37203000000,656.87500000000
447560,4399644,5,34659,447560.00000000000,4399644.00000000000,578834,5.96553000000,656.98800000000
447559,4399645,5,34659,447559.00000000000,4399645.00000000000,578843,9.00140000000,656.93300000000
447558,4399645,5,34659,447558.00000000000,4399645.00000000000,578845,25.27310000000,656.60400000000
447557,4399645,5,34659,447557.00000000000,4399645.00000000000,578847,35.22510000000,655.96400000000
