FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
14209,2595,1,2020,2248,80.360927000000004,459447.000000000000000,4380159.000000000000000,2198,657.3950195
14210,2598,1,2089,2251,83.615837999999997,458832.000000000000000,4380172.000000000000000,4577927,634.9580078
14211,2598,1,2089,2251,83.615837999999997,458833.000000000000000,4380167.000000000000000,4577779,634.9879761
14212,2598,1,2089,2251,83.615837999999997,458831.000000000000000,4380163.000000000000000,4577699,635.1920166
14213,2598,1,2089,2251,83.615837999999997,458828.000000000000000,4380164.000000000000000,4577585,635.4030151
14214,2602,1,2169,2254,30.383731000000001,458243.000000000000000,4380157.000000000000000,16450,678.9390259
14215,2605,1,2159,2256,26.680786999999999,456558.000000000000000,4380158.000000000000000,162749,791.7509766
14216,2620,1,2013,2269,86.636610000000005,458946.000000000000000,4380169.000000000000000,2400,644.7940063
14217,2620,1,2013,2269,86.636610000000005,458937.000000000000000,4380160.000000000000000,2414,640.8040161
14218,2632,1,2127,2281,49.041631000000002,458602.000000000000000,4380172.000000000000000,1347,666.3820190
14219,2632,1,2127,2281,49.041631000000002,458602.000000000000000,4380163.000000000000000,1365,664.0029907
14220,2635,1,2105,2283,85.315132000000006,459102.000000000000000,4380172.000000000000000,12115,627.6420288
14221,2635,1,2105,2283,85.315132000000006,459102.000000000000000,4380163.000000000000000,11959,631.2349854
14222,2635,1,2105,2283,85.315132000000006,459101.000000000000000,4380160.000000000000000,11915,632.3060303
14223,2635,1,2105,2283,85.315132000000006,459103.000000000000000,4380158.000000000000000,11412,633.5130005
14224,2637,1,2170,2285,34.457808999999997,459476.000000000000000,4380157.000000000000000,8165,660.9169922
14225,2676,1,2165,2312,89.957914000000002,455693.000000000000000,4380157.000000000000000,5055,878.4130249
14226,2677,1,2106,2312,54.441204999999997,455766.000000000000000,4380168.000000000000000,1460,875.1589966
14227,2677,1,2106,2312,54.441204999999997,455770.000000000000000,4380157.000000000000000,1502,873.4940186
14228,2696,1,2129,2328,64.104095999999998,457614.000000000000000,4380171.000000000000000,34856,738.1079712
14229,2696,1,2129,2328,64.104095999999998,457616.000000000000000,4380168.000000000000000,34662,738.8779907
